Name,Sig. Str. By Position - Standing,Sig. Str. By Position - Clinch,Sig. Str. By Position - Ground,Win by Method - KO/TKO,Win by Method - DEC,Win by Method - SUB,Status,Place of Birth,Trains at,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Weight Class,gender
Michal Figlak,25 (89%),0 (0%),3 (11%),4 (50%),4 (50%),0 (0%),Active,"Poznań, Poland",,MMA,26,70.00,156.00,"Sep. 3, 2022",70.00,39.00,Lightweight Division,man
Andre Fialho,165 (82%),32 (16%),5 (2%),13 (81%),2 (13%),1 (6%),Active,"Cascais, Portugal",Sanford MMA,Boxer,29,72.00,169.50,"Jan. 15, 2022",74.00,41.00,Welterweight Division,man
Brunno Ferreira,46 (77%),5 (8%),9 (15%),8 (73%),0 (0%),3 (27%),Active,"Curitiba, Brazil",Evolucao Thai - Curitiba,Grappler,31,70.00,185.00,"Jan. 21, 2023",72.00,39.00,Middleweight Division,man
Erisson Ferreira,31 (66%),8 (17%),8 (17%),0 (0 %),0 (0 %),0 (0 %),Active,,,,32,66.00,125.50,"Mar. 13, 2024",70.00,38.50,Flyweight Division,man
Diego Ferreira,454 (77%),44 (7%),91 (15%),4 (22%),7 (39%),7 (39%),Active,"Terra Nova, Brazil","Team Ferreira BJJ- Pharr, TX",MMA,38,69.00,154.50,"Jun. 28, 2014",74.00,40.50,Lightweight Division,man
Lucas Fernando,26 (93%),2 (7%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"State of Rio de Janeiro, Brazil",,,26,75.00,,"Mar. 13, 2024",80.00,41.50,Middleweight Division,man
Kauê Fernandes,1 (100%),0 (0%),0 (0%),4 (50%),3 (38%),1 (13%),Active,"State of Rio de Janeiro, Brazil",,Freestyle,28,69.00,166.80,"Nov. 4, 2023",73.00,40.00,Lightweight Division,man
Gabriella Fernandes,47 (96%),2 (4%),0 (0%),3 (43%),2 (29%),2 (29%),Active,"São Gonçalo, Brazil",,Striker,29,66.00,126.00,"Feb. 25, 2023",66.00,37.50,Women's Flyweight Division,women
Tony Ferguson,1200 (91%),31 (2%),91 (7%),13 (50%),5 (19%),8 (31%),Active,"Oxnard, United States",Reign Training Center Lake Forrest,Freestyle,39,71.00,155.50,"Jun. 5, 2011",76.50,40.50,Lightweight Division,man
Rico Farrington,95 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,Bahamas,,,34,,171.00,"Mar. 13, 2024",,,Welterweight Division,man
Jair Farias,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Rinat Fakhretdinov,94 (51%),27 (15%),65 (35%),11 (52%),4 (19%),6 (29%),Active,"Mordovia Republic, Russia",American Top Team,,32,72.00,170.50,"Jun. 4, 2022",74.00,42.00,Welterweight Division,man
Zarah Fairn,160 (94%),11 (6%),0 (0%),4 (67%),2 (33%),0 (0%),Active,"Paris, France",Team Figueiredo,MMA,39,68.00,146.00,"Oct. 5, 2019",72.00,42.00,Women's Bantamweight Division,women
Urijah Faber,590 (60%),139 (14%),253 (26%),10 (29%),8 (23%),17 (49%),Active,"Isla Vista, United States",Team Alpha Male  (Urijah Faber's Ultimate Fitness),MMA,44,66.00,135.50,"Mar. 20, 2011",67.00,37.00,Bantamweight Division,man
Movsar Evloev,384 (72%),49 (9%),98 (18%),3 (17%),11 (61%),4 (22%),Active,"Ingushetia, Russia",American Top Team,Freestyle,30,67.00,145.80,"Apr. 20, 2019",72.50,36.00,Featherweight Division,man
Rafael Estevam,12 (18%),3 (5%),51 (77%),4 (33%),5 (42%),3 (25%),Active,"Macapá, Brazil",Nova Uniao - Rio de Janeiro,MMA,27,68.00,143.00,"Apr. 22, 2023",69.00,37.50,Flyweight Division,man
Carla Esparza,247 (55%),63 (14%),143 (32%),4 (20%),12 (60%),4 (20%),Active,"Los Angeles, United States","Team Oyama - Irvine, CA",,36,61.00,114.80,"Dec. 12, 2014",63.00,35.00,Women's Strawweight Division,women
Jarno Errens,45 (90%),5 (10%),0 (0%),3 (23%),5 (38%),5 (38%),Active,"Heerlen, Netherlands",,MMA,28,71.00,162.30,"Sep. 3, 2022",73.00,41.00,Featherweight Division,man
Julian Erosa,580 (79%),116 (16%),34 (5%),11 (22%),27 (54%),12 (24%),Active,"Yakima, United States","Xtreme Couture - Las Vegas, NV",Striker,33,73.00,145.50,"Dec. 11, 2015",74.50,41.00,Featherweight Division,man
Steve Erceg,119 (73%),37 (23%),6 (4%),1 (9%),4 (36%),6 (55%),Active,"Perth, Australia",,MMA,28,68.00,126.00,"May. 20, 2023",68.00,38.00,Flyweight Division,man
Kolton Englund,5 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Kingwood, United States",,,29,,155.50,"Mar. 13, 2024",,,Lightweight Division,man
Josh Emmett,611 (84%),42 (6%),78 (11%),7 (37%),10 (53%),2 (11%),Active,"Phoenix, United States",Team Alpha Male  (Urijah Faber's Ultimate Fitness),Freestyle,39,66.50,146.00,"May. 8, 2016",70.00,39.50,Featherweight Division,man
Jamall Emmers,282 (80%),44 (13%),25 (7%),8 (40%),9 (45%),3 (15%),Active,"Miami, United States",,Kickboxer,34,70.00,162.20,"Mar. 7, 2020",74.00,41.00,Featherweight Division,man
Freddy Emiliano Linares,9 (53%),7 (41%),1 (6%),0 (0 %),0 (0 %),0 (0 %),Active,"Guayas, Ecuador",,,26,,144.50,"Mar. 13, 2024",,,Featherweight Division,man
Sovannahry Em,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Long Beach, United States",,,30,,,"Mar. 13, 2024",,,Women's Bantamweight Division,women
Brian Ellis,,,,,,,Active,,,,35,,,"Mar. 13, 2024",,,,man
Oban Elliott,69 (54%),5 (4%),54 (42%),2 (22%),4 (44%),3 (33%),Active,"Stroud, United Kingdom",,MMA,26,72.00,170.50,"Feb. 17, 2024",72.00,41.00,Welterweight Division,man
Tim Elliott,514 (62%),152 (18%),165 (20%),3 (14%),11 (52%),7 (33%),Active,United States,,Freestyle,37,67.00,136.00,"May. 5, 2012",66.00,38.00,Bantamweight Division,man
Darren Elkins,645 (57%),239 (21%),254 (22%),9 (33%),13 (48%),5 (19%),Active,"Portage, United States",Team Alpha Male  (Urijah Faber's Ultimate Fitness),Freestyle,39,70.00,145.00,"Mar. 21, 2010",71.00,39.00,Featherweight Division,man
Joao Elias,3 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,28,,125.00,"Mar. 13, 2024",,,Flyweight Division,man
Evan Elder,182 (94%),11 (6%),0 (0%),4 (57%),2 (29%),1 (14%),Active,"St. Louis, United States",Sanford MMA,MMA,26,70.00,175.00,"Apr. 23, 2022",72.00,38.00,Lightweight Division,man
Stephanie Egger,67 (56%),23 (19%),30 (25%),3 (38%),1 (13%),4 (50%),Not Fighting,"St. Gallen, Switzerland",,Judo,35,66.00,135.00,"Oct. 10, 2020",68.00,38.50,Women's Bantamweight Division,women
Leon Edwards,605 (76%),100 (13%),86 (11%),7 (33%),11 (52%),3 (14%),Active,"Kingston, Jamaica",UTC Ultimate Training Centre Birmingham,MMA,32,72.00,170.00,"Nov. 9, 2014",74.00,43.00,Welterweight Division,man
Joselyne Edwards,429 (87%),40 (8%),26 (5%),6 (55%),5 (45%),0 (0%),Active,Panama,"Xtreme Couture - Las Vegas, NV",Striker,27,68.00,151.00,"Jan. 16, 2021",70.00,39.00,Women's Bantamweight Division,women
Roybert Echeverria,19 (56%),3 (9%),12 (35%),0 (0 %),0 (0 %),0 (0 %),Active,"Maturin, Venezuela",,,27,,125.00,"Mar. 12, 2024",,,Flyweight Division,man
David Dvorak,231 (86%),30 (11%),8 (3%),8 (40%),4 (20%),8 (40%),Active,"Horice, Czechia","London Shootfighters, London, UK",MMA,31,65.00,125.50,"Mar. 14, 2020",68.50,37.00,Flyweight Division,man
Merab Dvalishvili,500 (60%),119 (14%),210 (25%),3 (19%),12 (75%),1 (6%),Active,"Tbilisi, Georgia",Team Serra/Longo,Freestyle,33,66.00,135.00,"Dec. 9, 2017",68.00,38.00,Bantamweight Division,man
Cody Durden,219 (77%),15 (5%),50 (18%),6 (38%),5 (31%),5 (31%),Active,United States,American Top Team,Striker,32,67.00,126.00,"Aug. 1, 2020",67.00,37.50,Flyweight Division,man
Albert Duraev,115 (72%),1 (1%),43 (27%),3 (20%),3 (20%),9 (60%),Active,Russia,,MMA,34,71.00,195.00,"Oct. 30, 2021",75.00,40.00,Middleweight Division,man
Chris Duncan,169 (89%),8 (4%),13 (7%),7 (64%),3 (27%),1 (9%),Active,Scotland,,MMA,30,70.00,176.40,"Mar. 18, 2023",71.50,41.00,Lightweight Division,man
Christian Leroy Duncan,143 (72%),29 (15%),26 (13%),8 (80%),1 (10%),1 (10%),Active,United Kingdom,,MMA,28,74.00,197.00,"Mar. 18, 2023",79.00,42.00,Middleweight Division,man
Norma Dumont,298 (74%),70 (17%),36 (9%),0 (0%),8 (80%),2 (20%),Active,"Belo Horizonte, Brazil",,,33,67.00,145.50,"Feb. 29, 2020",67.00,38.50,Women's Bantamweight Division,women
Sedriques Dumas,55 (75%),2 (3%),16 (22%),4 (50%),2 (25%),2 (25%),Active,"Pensacola, United States",,,28,74.00,198.00,"Mar. 11, 2023",79.00,42.50,Middleweight Division,man
Isaac Dulgarian,3 (9%),0 (0%),32 (91%),4 (67%),0 (0%),2 (33%),Active,"Fort Scott, United States",Factory X,,27,67.00,145.50,"Aug. 12, 2023",71.00,39.00,Featherweight Division,man
Viktoriia Dudakova,71 (74%),15 (16%),10 (10%),2 (25%),2 (25%),4 (50%),Active,"Volgograd, Russia",,MMA,24,65.00,124.00,"Jul. 15, 2023",67.00,37.00,Women's Strawweight Division,women
Emily Ducote,400 (96%),16 (4%),0 (0%),3 (23%),6 (46%),4 (31%),Active,"San Jose, United States",,MMA,29,62.00,119.50,"Jul. 16, 2022",63.00,35.00,Women's Strawweight Division,women
Dricus Du Plessis,398 (77%),53 (10%),69 (13%),9 (43%),2 (10%),10 (48%),Active,"Welkom, South Africa",,MMA,30,73.00,184.00,"Oct. 10, 2020",76.00,43.00,Middleweight Division,man
Kyle Driscoll,39 (95%),2 (5%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Tulsa, United States",,,28,,146.00,"Mar. 13, 2024",,,Featherweight Division,man
Felipe dos Santos,125 (92%),9 (7%),2 (1%),2 (29%),2 (29%),3 (43%),Active,"Maceió, Brazil",Chute Boxe,Muay Thai,23,67.00,132.30,"Sep. 10, 2023",70.00,38.00,Flyweight Division,man
Elizeu Zaleski dos Santos,572 (72%),163 (21%),59 (7%),14 (58%),7 (29%),3 (13%),Active,"Francisco Beltrao, Brazil",Academa CM System,MMA,36,71.00,184.80,"May. 30, 2015",73.00,41.00,Welterweight Division,man
Maiara Amajanas Dos Santos,,,,,,,Active,,,,,,115.50,"Mar. 13, 2024",,,Women's Strawweight Division,women
Rafael Dos Anjos,1220 (67%),321 (18%),277 (15%),5 (16%),16 (50%),11 (34%),Active,Brazil,"Kings MMA - Huntington Beach, CA",Grappler,39,68.00,156.00,"Nov. 15, 2008",70.00,38.00,Lightweight Division,man
Montserrat Rendon,55 (80%),1 (1%),13 (19%),0 (0%),6 (100%),0 (0%),Active,"Mexico City, Mexico",,Jiu-Jitsu,34,68.00,144.00,"Sep. 23, 2023",,,Women's Bantamweight Division,women
Roman Dolidze,218 (80%),25 (9%),29 (11%),7 (58%),2 (17%),3 (25%),Active,"Batumi, Georgia","Xtreme Couture - Las Vegas, NV",MMA,35,74.00,186.00,"Jul. 18, 2020",76.00,41.00,Middleweight Division,man
AJ Dobson,168 (78%),24 (11%),24 (11%),3 (43%),2 (29%),2 (29%),Active,"Brooklyn, United States",,Freestyle,31,73.00,185.00,"Feb. 12, 2022",76.00,43.50,Middleweight Division,man
Drew Dober,634 (77%),101 (12%),92 (11%),15 (56%),7 (26%),5 (19%),Active,"Omaha, United States","Elevation Fight Team - Denver, CO",Freestyle,35,68.00,156.00,"Dec. 1, 2013",70.00,35.00,Lightweight Division,man
Melissa Mullins,42 (81%),1 (2%),9 (17%),3 (60%),2 (40%),0 (0%),Active,"Oxford, United Kingdom",,MMA,32,67.00,135.50,"Oct. 14, 2023",,,Women's Bantamweight Division,women
Matt Dixon,25 (86%),4 (14%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Evansville, United States",,,27,,170.50,"Mar. 13, 2024",,,Welterweight Division,man
Rico DiSciullo,20 (95%),1 (5%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Cambridge, United States",,,36,68.00,135.50,"Mar. 12, 2024",71.00,39.00,Bantamweight Division,man
Jhonata Diniz,24 (96%),1 (4%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,31,,,"Mar. 13, 2024",,,Heavyweight Division,man
Ozzy Diaz,11 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Los Angeles, United States",,,32,76.00,186.00,"Mar. 12, 2024",79.00,42.00,Middleweight Division,man
Nick Diaz,1424 (76%),353 (19%),99 (5%),13 (50%),5 (19%),8 (31%),Active,"Stockton, United States",Cesar Gracie Fight Team,Brazilian Jiu-Jitsu,39,73.00,185.50,"Sep. 26, 2003",76.00,40.00,Middleweight Division,man
Victor Dias,33 (77%),0 (0%),10 (23%),5 (63%),1 (13%),2 (25%),Active,Brazil,,,32,66.00,,"Mar. 13, 2024",69.00,39.00,Flyweight Division,man
Blood Diamond,53 (49%),55 (51%),0 (0%),1 (33%),1 (33%),1 (33%),Active,Zimbabwe,City Kickboxing,Kickboxer,34,71.00,169.50,"Feb. 12, 2022",76.00,41.00,Welterweight Division,man
Marc Diakiese,385 (83%),46 (10%),32 (7%),6 (38%),9 (56%),1 (6%),Active,Congo - Kinshasa,Team Diakiese,Freestyle,30,70.00,172.00,"Oct. 9, 2016",73.00,39.00,Lightweight Division,man
Mackenzie Dern,400 (70%),64 (11%),105 (18%),0 (0%),64 (90%),7 (10%),Active,United States,Megaton Dias BJJ,Brazilian Jiu-Jitsu,30,64.00,116.00,"Mar. 3, 2018",63.00,37.50,Women's Strawweight Division,women
Vanessa Demopoulos,214 (67%),54 (17%),50 (16%),1 (4%),22 (81%),4 (15%),Active,"Cleveland, United States",,Jiu-Jitsu,35,62.00,117.50,"Aug. 28, 2021",59.50,34.00,Women's Strawweight Division,women
Jack Della Maddalena,0 (0 %),0 (0 %),0 (0 %),12 (71%),3 (18%),2 (12%),Active,Australia,,MMA,27,71.00,184.00,"Jan. 22, 2022",73.00,40.50,Welterweight Division,man
Carl Deaton,37 (97%),1 (3%),0 (0%),3 (18%),5 (29%),9 (53%),Active,"Pontiac, United States",Syndicate MMA,,33,67.00,171.00,"Feb. 25, 2023",69.00,38.00,Lightweight Division,man
Germaine de Randamie,238 (61%),128 (33%),23 (6%),4 (44%),5 (56%),0 (0%),Active,"Utrecht, Netherlands",Team Germaine- csa Holland,Muay Thai,39,69.00,136.00,"Aug. 19, 2012",71.00,41.00,Women's Bantamweight Division,women
Leonardo De Oliveira,1 (50%),1 (50%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,Brazil,,,31,,,"Mar. 13, 2024",,,Middleweight Division,man
Marcos Rogerio de Lima,310 (71%),37 (8%),89 (20%),15 (71%),3 (14%),3 (14%),Active,Brazil,011 MMA TEAM,Striker,38,73.00,261.00,"May. 31, 2014",75.00,43.00,Heavyweight Division,man
Montana De La Rosa,238 (67%),48 (14%),68 (19%),1 (8%),3 (25%),8 (67%),Active,"Helena, United States",Team Elevation,Freestyle,28,67.00,125.50,"Dec. 1, 2017",68.00,37.00,Women's Flyweight Division,women
Rafael de Freitas,,,,,,,Active,"Brasilia, Brazil",,,39,66.00,135.00,"Mar. 13, 2024",,,Flyweight Division,man
Grant Dawson,205 (56%),38 (10%),120 (33%),4 (20%),3 (15%),13 (65%),Active,"Cambria, United States",American Top Team,,29,70.00,174.80,"Aug. 15, 2017",72.00,40.00,Lightweight Division,man
Hakeem Dawodu,615 (84%),114 (16%),5 (1%),7 (58%),5 (42%),0 (0%),Active,"Calgary, Canada",Champions Creed MMA,Muay Thai,32,68.00,146.00,"Mar. 17, 2018",73.50,40.50,Featherweight Division,man
Mike Davis,0 (0 %),0 (0 %),0 (0 %),7 (78%),1 (11%),1 (11%),Active,"Hudson, United States",Fusion Xcel,MMA,30,72.00,155.00,"Apr. 27, 2019",72.50,41.00,Lightweight Division,man
Chris Daukaus,110 (71%),13 (8%),31 (20%),11 (92%),1 (8%),0 (0%),Active,"Philadelphia, United States",Martinez BJJ,Freestyle,33,75.00,205.00,"Aug. 15, 2020",76.00,43.00,Light Heavyweight Division,man
Beneil Dariush,509 (66%),123 (16%),142 (18%),5 (23%),9 (41%),8 (36%),Active,Iran,"Kings MMA - Huntington Beach, CA",MMA,34,70.00,156.00,"Jan. 15, 2014",72.00,40.50,Lightweight Division,man
Jarjis Danho,60 (60%),33 (33%),7 (7%),7 (100%),0 (0%),0 (0%),Active,"Malkiya, Syria","Hammers Team - Nuremberg, BY Germany",Boxer,39,74.00,255.50,"Feb. 27, 2016",74.50,42.00,Heavyweight Division,man
Peter Danesoe,14 (70%),6 (30%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,Denmark,,,22,,145.70,"Mar. 13, 2024",,,Flyweight Division,man
Leonardo Damiani,4 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,32,70.00,171.00,"Mar. 13, 2024",69.00,38.00,Welterweight Division,man
Nicolas Dalby,403 (62%),195 (30%),56 (9%),6 (29%),11 (52%),4 (19%),Active,"Fr. Vaerk Hundested, Denmark",Rumble Sports,MMA,38,70.00,190.20,"May. 30, 2015",74.50,43.00,Welterweight Division,man
Henrique Da Silva Lopes,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,38,,,"Mar. 13, 2024",,,Heavyweight Division,man
Igor Severino,40 (53%),0 (0%),35 (47%),0 (0 %),0 (0 %),0 (0 %),Active,Brazil,,,20,,125.50,"Mar. 23, 2024",,,Flyweight Division,man
Diego Henrique da Silva,27 (71%),8 (21%),3 (8%),0 (0 %),0 (0 %),0 (0 %),Active,"Sao Paulo, Brazil",,,36,74.00,185.00,"Mar. 13, 2024",,,Middleweight Division,man
Henrique da Silva,113 (48%),83 (35%),41 (17%),11 (92%),0 (0%),1 (8%),Active,"Limoeiro, Brazil",,,33,75.00,205.00,"Mar. 13, 2024",76.50,43.00,Light Heavyweight Division,man
Ion Cutelaba,297 (55%),117 (22%),130 (24%),12 (71%),3 (18%),2 (12%),Active,Moldova,CSA Team Moldova,Sambo,30,73.00,220.00,"Jun. 19, 2016",75.00,41.00,Light Heavyweight Division,man
Chris Curtis,522 (88%),51 (9%),17 (3%),17 (59%),11 (38%),1 (3%),Active,"Cincinnati, United States","Xtreme Couture - Las Vegas, NV",MMA,36,70.00,185.30,"Nov. 6, 2021",75.50,40.00,Middleweight Division,man
Josh Culibao,174 (87%),18 (9%),9 (4%),5 (45%),5 (45%),1 (9%),Active,"Sydney, Australia",Igor MMA,Freestyle,29,70.00,159.00,"Feb. 23, 2020",73.00,39.00,Featherweight Division,man
Emilio Cuellar,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,,,,"Mar. 13, 2024",,,Flyweight Division,man
Timmy Cuamba,68 (89%),6 (8%),2 (3%),4 (50%),4 (50%),0 (0%),Active,"Las Vegas, United States",,Striker,25,69.00,161.00,"Feb. 10, 2024",71.00,40.00,Lightweight Division,man
Dominick Cruz,1014 (86%),88 (7%),83 (7%),7 (29%),16 (67%),1 (4%),Active,United States,Alliance Training Center East -Santee,Wrestler,38,68.00,135.00,"Jul. 2, 2011",68.00,37.00,Bantamweight Division,man
Jimmy Crute,145 (67%),31 (14%),41 (19%),5 (42%),3 (25%),4 (33%),Active,"Singleton, Australia",The Resistance Training Center,MMA,27,74.00,205.00,"Dec. 2, 2018",74.00,43.00,Light Heavyweight Division,man
Kiefer Crosbie,146 (90%),17 (10%),0 (0%),5 (50%),3 (30%),2 (20%),Active,"Dublin, Ireland",SBG Ireland,MMA,31,70.98,186.00,"Sep. 10, 2023",,,Welterweight Division,man
Paul Craig,195 (59%),54 (16%),80 (24%),4 (24%),0 (0%),13 (76%),Active,"Airdrie, United Kingdom",Scottish Hit Squad,Kung-Fu,36,75.50,186.00,"Dec. 18, 2016",76.00,43.00,Middleweight Division,man
Hailey Cowan,51 (57%),26 (29%),12 (13%),2 (29%),3 (43%),2 (29%),Active,"Hewitt, United States",,Freestyle,31,68.00,137.50,"Feb. 25, 2023",67.00,40.00,Women's Bantamweight Division,women
Colby Covington,843 (79%),107 (10%),112 (11%),4 (24%),9 (53%),4 (24%),Active,United States,"American Top Team ATT Coconut Creek, FL",,36,71.00,169.50,"Aug. 23, 2014",72.00,41.00,Welterweight Division,man
Oscar Cota,2 (40%),0 (0%),3 (60%),0 (0 %),0 (0 %),0 (0 %),Active,"Mexicali, Mexico",,,38,72.00,263.50,"Mar. 12, 2024",72.00,41.00,Heavyweight Division,man
Paulo Costa,538 (86%),39 (6%),45 (7%),11 (85%),1 (8%),1 (8%),Active,"State of Minas Gerais, Brazil",Team Borracha,Striker,32,73.00,185.50,"Mar. 12, 2017",72.00,39.50,Middleweight Division,man
Melquizael Costa,116 (90%),12 (9%),1 (1%),7 (37%),6 (32%),6 (32%),Active,"Porto de Moz, Brazil",Chute Boxe,MMA,27,70.00,168.20,"Jan. 21, 2023",71.00,40.50,Lightweight Division,man
Alessandro Costa,148 (82%),22 (12%),11 (6%),3 (27%),2 (18%),6 (55%),Active,"Manaus , Brazil",,Jiu-Jitsu,27,64.00,140.80,"Dec. 17, 2022",67.00,36.00,Flyweight Division,man
Davi Costa,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Tracy Cortez,212 (57%),43 (12%),115 (31%),1 (10%),8 (80%),1 (10%),Active,"Phoenix, United States",,MMA,30,65.00,126.00,"Nov. 16, 2019",65.50,38.50,Women's Flyweight Division,women
Reyes Cortez,105 (85%),18 (15%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Phoenix, United States",,,31,67.00,135.50,"Mar. 13, 2024",68.00,36.50,Bantamweight Division,man
Waldo Cortes-Acosta,375 (92%),24 (6%),10 (2%),5 (50%),4 (40%),1 (10%),Active,Dominican Republic,,Striker,32,76.00,261.50,"Oct. 29, 2022",70.00,43.50,Heavyweight Division,man
Jonathan Correa,,,,,,,Active,,,,,,,"Mar. 12, 2024",,,,man
Nora Cornolle,17 (43%),23 (58%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,34,,152.00,"Sep. 2, 2023",,,Women's Bantamweight Division,women
Cory Corbin,,,,,,,Active,,,,36,,254.00,"Mar. 13, 2024",,,,man
Michael Cora,2 (17%),1 (8%),9 (75%),4 (100%),0 (0%),0 (0%),Active,"New York, United States",,,33,71.00,171.00,"Jul. 18, 2017",77.00,41.00,Welterweight Division,man
Marcos Conrado Junior,13 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,41,,212.50,"Mar. 13, 2024",,,Heavyweight Division,man
Jake Collier,738 (86%),94 (11%),30 (3%),5 (38%),4 (31%),4 (31%),Active,"St. Louis, United States","The Pit - Cuba, MO",Freestyle,34,75.00,265.50,"Dec. 20, 2014",78.50,43.50,Heavyweight Division,man
Chandler Cole,15 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,,,,"Mar. 13, 2024",,,Heavyweight Division,man
Coltin Cole,,,,,,,Active,,,,34,,217.00,"Mar. 13, 2024",,,,man
Mark Climaco,73 (78%),18 (19%),2 (2%),0 (0 %),0 (0 %),0 (0 %),Active,"Hayward, United States",,,25,,141.20,"Mar. 13, 2024",,,Flyweight Division,man
Devin Clark,306 (52%),182 (31%),100 (17%),4 (31%),8 (62%),1 (8%),Active,"Sioux Falls, United States",Next Edge Academy,Boxer,33,72.00,221.00,"Jul. 14, 2016",75.00,41.00,Light Heavyweight Division,man
SeungGuk Choi,170 (86%),7 (4%),20 (10%),2 (33%),4 (67%),0 (0%),Active,South Korea,Korean Zombie MMA,Wrestling,26,66.00,131.30,"Jun. 9, 2022",64.00,35.50,Flyweight Division,man
Dooho Choi,178 (73%),29 (12%),38 (16%),11 (79%),2 (14%),1 (7%),Active,South Korea,Gumi MMA,Striker,32,70.00,145.50,"Nov. 22, 2014",70.00,39.00,Featherweight Division,man
Seungwoo Choi,245 (68%),67 (19%),47 (13%),6 (60%),4 (40%),0 (0%),Active,"Gangneung, South Korea",,MMA,30,72.00,163.60,"Apr. 20, 2019",74.50,43.00,Featherweight Division,man
Khamzat Chimaev,113 (44%),11 (4%),134 (52%),6 (8%),61 (85%),5 (7%),Active,,,Freestyle,29,74.00,178.50,"Jul. 15, 2020",75.00,40.00,Middleweight Division,man
Giga Chikadze,475 (89%),11 (2%),48 (9%),9 (64%),4 (29%),1 (7%),Active,"Tbilisi, Georgia",Kings MMA,Karate,34,72.00,164.40,"Sep. 28, 2019",74.00,40.50,Featherweight Division,man
Michael Chiesa,184 (58%),41 (13%),95 (30%),0 (0%),7 (39%),11 (61%),Active,"Aurora, United States","Sik-Jitsu Spokane, WA",Wrestling,36,73.00,170.00,"Jun. 2, 2012",75.50,43.00,Welterweight Division,man
Macy Chiasson,167 (47%),101 (29%),84 (24%),3 (33%),4 (44%),2 (22%),Active,United States,Fortis MMA,MMA,32,71.00,139.50,"Nov. 30, 2018",72.00,42.00,Women's Bantamweight Division,women
Morgan Charriere,25 (96%),1 (4%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,,161.00,"Sep. 2, 2023",,,Featherweight Division,man
Michael Chandler,218 (64%),21 (6%),100 (29%),11 (48%),5 (22%),7 (30%),Active,"High Ridge, United States",Sanford MMA,Wrestler,37,68.00,155.80,"Jan. 23, 2021",71.50,37.50,Lightweight Division,man
Chelsea Chandler,30 (50%),9 (15%),21 (35%),2 (40%),2 (40%),1 (20%),Active,"Stockton, United States",,MMA,33,68.50,145.50,"Oct. 1, 2022",68.00,40.00,Women's Bantamweight Division,women
Edgar Chairez,94 (97%),0 (0%),3 (3%),4 (36%),0 (0%),7 (64%),Active,"Baja California, Mexico",,,28,67.00,141.00,"Jul. 8, 2023",71.00,40.00,Flyweight Division,man
Katlyn Cerminara,960 (87%),86 (8%),58 (5%),2 (11%),15 (83%),1 (6%),Active,"Quakertown, United States",Renzo Gracie Academy,MMA,35,69.00,125.00,"Jul. 14, 2016",68.00,42.00,Women's Flyweight Division,women
Vinicius Cenci,22 (81%),5 (19%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,,155.00,"Mar. 13, 2024",,,Lightweight Division,man
N/A,,,,,,,,,,,,,,,,,,man
Jacqueline Cavalcanti,116 (92%),10 (8%),0 (0%),3 (60%),2 (40%),0 (0%),Active,Brazil,,Striker,26,68.00,149.00,"Sep. 2, 2023",,,Women's Bantamweight Division,women
John Castaneda,353 (86%),30 (7%),28 (7%),8 (38%),7 (33%),6 (29%),Active,"Dallas, United States",,MMA,31,66.00,152.00,"Aug. 1, 2017",71.00,37.00,Bantamweight Division,man
Cortney Casey,640 (78%),95 (12%),81 (10%),3 (21%),7 (50%),4 (29%),Active,"Tucson, United States","The Nest / Sanchez BJJ - Maui, HI",MMA,36,67.00,126.00,"Jul. 18, 2015",67.00,35.00,Women's Flyweight Division,women
Jack Cartwright,8 (67%),1 (8%),3 (25%),0 (0 %),0 (0 %),0 (0 %),Active,"Bolton, United Kingdom",,,29,,136.00,"Mar. 13, 2024",,,Bantamweight Division,man
